X,genus,X,species,subttype,subtaxa,native_status,rarity_status,invasive_status
,Cornus,,canadensis,,,N,,
,Cornus,,racemosa,,,N,,
,Cornus,,rugosa,,,N,,
,Cornus,,sericea,,,N,,
,Crassula,,aquatica,,,N,T,
,Hylotelephium,,telephium,,,I,,
,Phedimus,,aizoon,,,I,,
,Phedimus,,spurius,,,I,,
,Rhodiola,,integrifolia,subsp.,leedyi,N,E,
,Sedum,,acre,,,I,,
,Echinocystis,,lobata,,,N,,
,Sicyos,,angulatus,,,N,,
,Juniperus,,communis,var.,depressa,N,,
,Juniperus,,horizontalis,,,N,SC,
,Juniperus,,virginiana,var.,virginiana,N,,
,Thuja,,occidentalis,,,N,,
,Cuscuta,,cephalanthi,,,N,,
,Cuscuta,,coryli,,,N,,
,Cuscuta,,glomerata,,,N,,
,Cuscuta,,gronovii,var.,gronovii,N,,
,Cuscuta,,indecora,,,N,,
,Cuscuta,,megalocarpa,,,N,H,
,Cuscuta,,obtusiflora,var.,glandulosa,N,H,
,Cuscuta,,pentagona,,,N,,
,Cuscuta,,polygonorum,,,N,H,
,Bolboschoenus,,fluviatilis,,,N,,
,Bolboschoenus,,maritimus,subsp.,paludosus,N,,
,Bulbostylis,,capillaris,,,N,,
,Carex,,adusta,,,N,,
,Carex,,albursina,,,N,,
,Carex,,alopecoidea,,,N,,
,Carex,,annectens,,,N,SC,
,Carex,,aquatilis,,,N,,
,Carex,,aquatilis,var.,aquatilis,N,,
,Carex,,aquatilis,var.,substricta,N,,
,Carex,,arcta,,,N,,
,Carex,,arctata,,,N,,
,Carex,,assiniboinensis,,,N,,
,Carex,,atherodes,,,N,,
,Carex,,aurea,,,N,,
,Carex,,backii,,,N,,
,Carex,,bebbii,,,N,,
,Carex,,bicknellii,,,N,,
,Carex,,blanda,,,N,,
,Carex,,brevior,,,N,,
,Carex,,bromoides,subsp.,bromoides,N,,
,Carex,,brunnescens,,,N,,
,Carex,,brunnescens,subsp.,brunnescens,N,,
,Carex,,brunnescens,subsp.,sphaerostachya,N,,
,Carex,,buxbaumii,,,N,,
,Carex,,canescens,,,N,,
,Carex,,canescens,subsp.,canescens,N,,
,Carex,,canescens,subsp.,disjuncta,N,,
,Carex,,capillaris,,,N,W,
,Carex,,careyana,,,N,E,
,Carex,,castanea,,,N,,
,Carex,,cephaloidea,,,N,,
,Carex,,cephalophora,,,N,,
,Carex,,chordorrhiza,,,N,,
,Carex,,communis,var.,communis,N,,
,Carex,,comosa,,,N,,
,Carex,,conjuncta,,,N,T,
,Carex,,conoidea,,,N,,
,Carex,,crawei,,,N,,
,Carex,,crawfordii,,,N,,
,Carex,,crinita,var.,crinita,N,,
,Carex,,cristatella,,,N,,
,Carex,,crus-corvi,,,N,H,
,Carex,,cryptolepis,,,N,,
,Carex,,davisii,,,N,T,
,Carex,,debilis,var.,rudgei,N,W,
,Carex,,deflexa,var.,deflexa,N,,
,Carex,,deweyana,var.,deweyana,N,,
,Carex,,diandra,,,N,,
,Carex,,disperma,,,N,,
,Carex,,duriuscula,,,N,,
,Carex,,eburnea,,,N,,
,Carex,,echinata,subsp.,echinata,N,,
,Carex,,emoryi,,,N,,
,Carex,,exilis,,,N,SC,
,Carex,,festucacea,,,N,T,
,Carex,,filifolia,var.,filifolia,N,,
,Carex,,flava,,,N,SC,
,Carex,,foenea,,,N,,
,Carex,,formosa,,,N,E,
,Carex,,garberi,,,N,T,
,Carex,,gracillima,,,N,,
,Carex,,granularis,,,N,,
,Carex,,gravida,,,N,,
,Carex,,grayi,,,N,SC,
,Carex,,grisea,,,N,,
,Carex,,gynandra,,,N,,
,Carex,,gynocrates,,,N,,
,Carex,,hallii,,,N,SC,
,Carex,,haydenii,,,N,,
,Carex,,hirtifolia,,,N,,
,Carex,,hitchcockiana,,,N,,
,Carex,,hookerana,,,N,SC,
,Carex,,houghtoniana,,,N,,
,Carex,,hystericina,,,N,,
,Carex,,inops,subsp.,heliophila,N,,
,Carex,,interior,,,N,,
,Carex,,intumescens,,,N,,
,Carex,,jamesii,,,N,T,
,Carex,X,knieskernii,,,N,,
,Carex,,lacustris,,,N,,
,Carex,,laeviconica,,,N,,
,Carex,,laevivaginata,,,N,T,
,Carex,,lasiocarpa,subsp.,americana,N,,
,Carex,,lenticularis,var.,lenticularis,N,,
,Carex,,leptalea,,,N,,
,Carex,,leptonervia,,,N,,
,Carex,,limosa,,,N,,
,Carex,,livida,,,N,,
,Carex,,lucorum,var.,lucorum,N,,
,Carex,,lupulina,,,N,,
,Carex,,lurida,,,N,W,
,Carex,,magellanica,subsp.,irrigua,N,,
,Carex,,meadii,,,N,,
,Carex,,media,,,N,SC,
,Carex,,merritt-fernaldii,,,N,,
,Carex,,michauxiana,,,N,SC,
,Carex,,molesta,,,N,,
,Carex,,muehlenbergii,,,N,,
,Carex,,muehlenbergii,var.,enervis,N,,
,Carex,,muehlenbergii,var.,muehlenbergii,N,,
,Carex,,muskingumensis,,,N,SC,
,Carex,,normalis,,,N,,
,Carex,,novae-angliae,,,N,T,
,Carex,,obtusata,,,N,SC,
,Carex,,oligocarpa,,,N,,
,Carex,,oligosperma,,,N,,
,Carex,,ormostachya,,,N,SC,
,Carex,,pallescens,,,N,E,
,Carex,,pauciflora,,,N,,
,Carex,,peckii,,,N,,
,Carex,,pedunculata,,,N,,
,Carex,,pellita,,,N,,
,Carex,,pensylvanica,,,N,,
,Carex,,plantaginea,,,N,E,
,Carex,,praegracilis,,,N,,
,Carex,,prairea,,,N,,
,Carex,,praticola,,,N,SC,
,Carex,,projecta,,,N,,
,Carex,,pseudocyperus,,,N,,
,Carex,,radiata,,,N,,
,Carex,,retrorsa,,,N,,
,Carex,,richardsonii,,,N,,
,Carex,,rosea,,,N,,
,Carex,,rossii,,,N,T,
,Carex,,rostrata,,,N,,
,Carex,,sartwellii,,,N,,
,Carex,,saximontana,,,N,,
,Carex,,scirpoidea,subsp.,scirpoidea,N,SC,
,Carex,,scoparia,var.,scoparia,N,,
,Carex,,siccata,,,N,,
,Carex,,sparganioides,,,N,,
,Carex,,sprengelii,,,N,,
,Carex,,sterilis,,,N,T,
,Carex,,stipata,var.,stipata,N,,
,Carex,,stricta,,,N,,
,Carex,,supina,subsp.,spaniocarpa,N,E,
,Carex,,sychnocephala,,,N,,
,Carex,,tenera,,,N,,
,Carex,,tenera,var.,echinodes,N,,
,Carex,,tenera,var.,tenera,N,,
,Carex,,tenuiflora,,,N,,
,Carex,,tetanica,,,N,,
,Carex,,tonsa,,,N,,
,Carex,,tonsa,var.,rugosperma,N,,
,Carex,,tonsa,var.,tonsa,N,,
,Carex,,torreyi,,,N,,
,Carex,,tribuloides,var.,tribuloides,N,,
,Carex,,trichocarpa,,,N,W,
,Carex,,trisperma,,,N,,
,Carex,,tuckermanii,,,N,,
,Carex,,typhina,,,N,SC,
,Carex,,umbellata,,,N,,
,Carex,,utriculata,,,N,,
,Carex,,vaginata,,,N,,
,Carex,,vesicaria,,,N,,
,Carex,,viridula,var.,viridula,N,,
,Carex,,vulpinoidea,,,N,,
,Carex,,woodii,,,N,,
,Carex,,xerantica,,,N,SC,
,Cladium,,mariscoides,,,N,SC,
,Cyperus,,acuminatus,,,N,T,
,Cyperus,,bipartitus,,,N,,
,Cyperus,,diandrus,,,N,,
,Cyperus,,erythrorhizos,,,N,,
,Cyperus,,esculentus,var.,leptostachyus,I,,
,Cyperus,,fuscus,,,I,,
,Cyperus,,houghtonii,,,N,W,
,Cyperus,,lupulinus,,,N,,
,Cyperus,,lupulinus,subsp.,lupulinus,N,,
,Cyperus,,lupulinus,subsp.,macilentus,N,,
,Cyperus,X,mesochorus,,,N,,
,Cyperus,,odoratus,,,N,,
,Cyperus,,schweinitzii,,,N,,
,Cyperus,,squarrosus,,,N,,
,Cyperus,,strigosus,,,N,,
,Dulichium,,arundinaceum,var.,arundinaceum,N,,
,Eleocharis,,acicularis,,,N,,
,Eleocharis,,coloradoensis,,,N,SC,
,Eleocharis,,compressa,,,N,,
,Eleocharis,,compressa,var.,acutisquamata,N,,
,Eleocharis,,compressa,var.,compressa,N,,
,Eleocharis,,elliptica,,,N,,
,Eleocharis,,engelmannii,,,N,W,
,Eleocharis,,erythropoda,,,N,,
,Eleocharis,,flavescens,var.,olivacea,N,T,
,Eleocharis,,intermedia,,,N,,
,Eleocharis,,macrostachya,,,N,,
,Eleocharis,,nitida,,,N,SC,
,Eleocharis,,obtusa,,,N,,
,Eleocharis,,ovata,,,N,,
,Eleocharis,,palustris,,,N,,
,Eleocharis,,quinqueflora,,,N,SC,
,Eleocharis,,robbinsii,,,N,T,
,Eleocharis,,rostellata,,,N,T,
,Eleocharis,,wolfii,,,N,E,
,Eriophorum,,angustifolium,subsp.,angustifolium,N,,
,Eriophorum,,chamissonis,,,N,,
,Eriophorum,,gracile,,,N,,
,Eriophorum,,tenellum,,,N,,
,Eriophorum,,vaginatum,,,N,,
,Eriophorum,,virginicum,,,N,,
,Eriophorum,,viridicarinatum,,,N,,
,Fimbristylis,,autumnalis,,,N,SC,
,Fimbristylis,,puberula,var.,interior,N,E,
,Lipocarpha,,micrantha,,,N,,
,Rhynchospora,,alba,,,N,,
,Rhynchospora,,capillacea,,,N,T,
,Rhynchospora,,capitellata,,,N,W,
,Rhynchospora,,fusca,,,N,,
,Schoenoplectus,,acutus,, X tabernaemontani,N,,
,Schoenoplectus,,acutus,var.,acutus,N,,
,Schoenoplectus,,heterochaetus,,,N,,
,Schoenoplectus,X,oblongus,,,N,,
,Schoenoplectus,,pungens,,,N,,
,Schoenoplectus,,purshianus,var.,purshianus,N,,
,Schoenoplectus,,smithii,,,N,,
,Schoenoplectus,,smithii,var.,setosus,N,,
,Schoenoplectus,,smithii,var.,smithii,N,,
,Schoenoplectus,,subterminalis,,,N,,
,Schoenoplectus,,tabernaemontani,,,N,,
,Schoenoplectus,,torreyi,,,N,,
,Scirpus,,atrocinctus,,,N,,
,Scirpus,,atrovirens,,,N,,
,Scirpus,,cyperinus,,,N,,
,Scirpus,,georgianus,,,N,W,
,Scirpus,,hattorianus,,,N,,
,Scirpus,,microcarpus,,,N,,
,Scirpus,,pallidus,,,N,,
,Scirpus,,pedicellatus,,,N,,
,Scirpus,,pendulus,,,N,W,
,Scleria,,triglomerata,,,N,E,
,Scleria,,verticillata,,,N,T,
,Trichophorum,,alpinum,,,N,,
,Trichophorum,,cespitosum,,,N,,
,Trichophorum,,clintonii,,,N,T,
,Pteridium,,aquilinum,var.,latiusculum,N,,
,Dioscorea,,villosa,,,N,,
,Dipsacus,,laciniatus,,,I,,
,Knautia,,arvensis,,,I,,
,Drosera,,anglica,,,N,SC,
,Drosera,,intermedia,,,N,,
,Drosera,,linearis,,,N,SC,
,Drosera,X,obovata,,,N,,
,Drosera,,rotundifolia,,,N,,
,Athyrium,,filix-femina,var.,angustum,N,,
,Cystopteris,,bulbifera,,,N,,
,Cystopteris,,fragilis,,,N,,
,Cystopteris,,laurentiana,,,N,W,
,Cystopteris,,protrusa,,,N,,
,Cystopteris,,tennesseensis,,,N,W,
,Cystopteris,,tenuis,,,N,,
,Deparia,,acrostichoides,,,N,SC,
,Diplazium,,pycnocarpon,,,N,T,
,Dryopteris,X,boottii,,,N,,
,Dryopteris,,carthusiana,,,N,,
,Dryopteris,,cristata,,,N,,
,Dryopteris,,expansa,,,N,,
,Dryopteris,,fragrans,,,N,,
,Dryopteris,,goldiana,,,N,SC,
,Dryopteris,,intermedia,,,N,,
,Dryopteris,,marginalis,,,N,E,
,Dryopteris,X,triploidea,,,N,,
,Dryopteris,X,uliginosa,,,N,,
,Gymnocarpium,X,brittonianum,,,N,,
,Gymnocarpium,,dryopteris,,,N,,
,Gymnocarpium,X,intermedium,,,N,,
,Gymnocarpium,,jessoense,subsp.,parvulum,N,,
,Gymnocarpium,,robertianum,,,N,SC,
,Matteuccia,,struthiopteris,var.,pensylvanica,N,,
,Onoclea,,sensibilis,,,N,,
,Polystichum,,acrostichoides,,,N,E,
,Polystichum,,braunii,,,N,T,
,Woodsia,X,abbeae,,,N,,
,Woodsia,,alpina,,,N,T,
,Woodsia,,glabella,,,N,T,
,Woodsia,X,gracilis,,,N,,
,Woodsia,,ilvensis,,,N,,
,Woodsia,X,maxonii,,,N,H,
,Woodsia,,obtusa,subsp.,obtusa,N,,
,Woodsia,,oregana,subsp.,cathcartiana,N,SC,
,Woodsia,,scopulina,subsp.,laurentiana,N,T,
,Elaeagnus,,angustifolia,,,I,,
,Elaeagnus,,commutata,,,N,,
,Shepherdia,,argentea,,,N,,
,Shepherdia,,canadensis,,,N,SC,
,Elatine,,minima,,,N,,
,Elatine,,triandra,,,N,SC,
,Empetrum,,atropurpureum,,,N,E,
,Empetrum,,nigrum,,,N,E,
,Equisetum,,arvense,,,N,,
,Equisetum,X,ferrissii,,,N,,
,Equisetum,,fluviatile,,,N,,
,Equisetum,,hyemale,subsp.,affine,N,,
,Equisetum,,laevigatum,,,N,,
,Equisetum,X,litorale,,,N,,
,Equisetum,X,mackaii,,,N,,
,Equisetum,X,nelsonii,,,N,,
,Equisetum,,palustre,,,N,,
,Equisetum,,pratense,,,N,,
,Equisetum,,scirpoides,,,N,,
,Equisetum,,sylvaticum,,,N,,
,Equisetum,,variegatum,subsp.,variegatum,N,,
,Andromeda,,polifolia,var.,latifolia,N,,
,Arctostaphylos,,uva-ursi,,,N,,
,Chamaedaphne,,calyculata,,,N,,
,Epigaea,,repens,,,N,,
,Gaultheria,,hispidula,,,N,,
,Gaultheria,,procumbens,,,N,,
,Gaylussacia,,baccata,,,N,T,
,Kalmia,,polifolia,,,N,,
,Orthilia,,secunda,,,N,,
,Rhododendron,,groenlandicum,,,N,,
,Vaccinium,,angustifolium,,,N,,
,Vaccinium,,caespitosum,,,N,,
,Vaccinium,,macrocarpon,,,N,,
,Vaccinium,,myrtilloides,,,N,,
,Vaccinium,,oxycoccos,,,N,,
,Vaccinium,,uliginosum,,,N,E,
,Vaccinium,,vitis-idaea,,,N,,
,Eriocaulon,,aquaticum,,,N,,
,Acalypha,,rhomboidea,,,N,,
,Chamaesyce,,missurica,,,N,SC,
,Croton,,glandulosus,,,I,,
,Euphorbia,,corollata,,,N,,
,Euphorbia,,cyathophora,,,I,,
,Euphorbia,,cyparissias,,,I,,
,Euphorbia,,dentata,,,N,,
,Euphorbia,,esula,,,I,,"SN,PS"
,Euphorbia,,geyeri,,,N,,
,Euphorbia,,glyptosperma,,,N,,
,Euphorbia,,helioscopia,,,I,,
,Euphorbia,,hexagona,,,N,H,
,Euphorbia,,maculata,,,N,,
,Euphorbia,,marginata,,,N,,
,Euphorbia,,nutans,,,N,,
,Euphorbia,,serpyllifolia,,,N,,
,Euphorbia,,spathulata,,,N,,
,Amorpha,,canescens,,,N,,
,Amorpha,,fruticosa,,,N,,
,Amorpha,,nana,,,N,,
,Amphicarpaea,,bracteata,,,N,,
,Apios,,americana,,,N,,
,Astragalus,,adsurgens,var.,robustior,N,,
,Astragalus,,agrestis,,,N,,
,Astragalus,,alpinus,var.,alpinus,N,E,
,Astragalus,,canadensis,,,N,,
,Astragalus,,crassicarpus,var.,crassicarpus,N,,
,Astragalus,,flexuosus,var.,flexuosus,N,SC,
,Astragalus,,lotiflorus,,,N,,
,Astragalus,,missouriensis,var.,missouriensis,N,SC,
,Astragalus,,neglectus,,,N,,
,Astragalus,,racemosus,var.,racemosus,N,H,
,Astragalus,,tenellus,,,N,H,
,Baptisia,,bracteata,var.,glabrescens,N,SC,
,Baptisia,,lactea,var.,lactea,N,SC,
,Caragana,,arborescens,,,I,,
,Coronilla,,varia,,,I,,
,Crotalaria,,sagittalis,,,N,SC,
,Dalea,,candida,,,N,,
,Dalea,,candida,var.,candida,N,,
,Dalea,,candida,var.,oligophylla,N,SC,
,Dalea,,leporina,,,N,,
,Dalea,,purpurea,var.,purpurea,N,,
,Dalea,,villosa,var.,villosa,N,,
,Desmodium,,canadense,,,N,,
,Desmodium,,cuspidatum,var.,longifolium,N,T,
,Desmodium,,glutinosum,,,N,,
,Desmodium,,illinoense,,,N,,
,Desmodium,,nudiflorum,,,N,T,
,Glycyrrhiza,,lepidota,,,N,,
,Lathyrus,,latifolius,,,I,,
,Lathyrus,,maritimus,var.,glaber,N,,
,Lathyrus,,ochroleucus,,,N,,
,Lathyrus,,palustris,,,N,,
,Lathyrus,,tuberosus,,,I,,
,Lathyrus,,venosus,var.,intonsus,N,,
,Lespedeza,,capitata,,,N,,
,Lespedeza,,leptostachya,,,N,T,
,Lotus,,corniculatus,,,I,,
,Lotus,,purshianus,,,N,,
,Lupinus,,perennis,,,N,,
,Lupinus,,polyphyllus,,,I,,
,Medicago,,lupulina,,,I,,
,Medicago,,sativa,,,I,,
,Medicago,,sativa,subsp.,falcata,I,,
,Medicago,,sativa,subsp.,sativa,I,,
,Melilotus,,alba,,,I,,
,Melilotus,,officinalis,,,I,,
,Oxytropis,,campestris,var.,chartacea,N,,
,Oxytropis,,lambertii,var.,lambertii,N,,
,Oxytropis,,splendens,,,N,,
,Oxytropis,,viscida,,,N,E,
,Pediomelum,,argophyllum,,,N,,
,Pediomelum,,esculentum,,,N,,
,Psoralidium,,tenuiflorum,,,N,E,
,Robinia,,pseudoacacia,,,I,,
,Strophostyles,,helvola,,,N,,
,Strophostyles,,leiosperma,,,N,,
,Tephrosia,,virginiana,,,N,SC,
,Trifolium,,arvense,,,I,,
,Trifolium,,aureum,,,I,,
,Trifolium,,campestre,,,I,,
,Trifolium,,hybridum,,,I,,
,Trifolium,,incarnatum,,,I,,
,Trifolium,,pratense,,,I,,
,Trifolium,,repens,,,I,,
,Vicia,,americana,,,N,,
,Vicia,,americana,var.,americana,N,,
,Vicia,,americana,var.,minor,N,,
,Vicia,,angustifolia,,,I,,
,Vicia,,cracca,,,I,,
,Vicia,,sativa,,,I,,
,Vicia,,villosa,,,I,,
,Quercus,,alba,,,N,,
,Quercus,X,bebbiana,,,N,,
,Quercus,,bicolor,,,N,SC,
,Quercus,,bicolor,, X macrocarpa,N,,
,Quercus,,ellipsoidalis,,,N,,
,Quercus,,ellipsoidalis,, X rubra,N,,
,Quercus,X,hawkinsii,,,N,,
,Quercus,X,hillii,,,N,,
,Quercus,,macrocarpa,,,N,,
,Quercus,,muhlenbergii,,,N,H,
,Quercus,X,palaeolithicola,,,I,,
,Quercus,,rubra,,,N,,
,Quercus,,velutina,,,N,,
,Adlumia,,fungosa,,,N,SC,
,Corydalis,,aurea,subsp.,aurea,N,,
,Corydalis,,micrantha,subsp.,micrantha,N,,
,Corydalis,,sempervirens,,,N,,
,Dicentra,,canadensis,,,N,SC,
,Dicentra,,cucullaria,,,N,,
,Bartonia,,virginica,,,N,E,
,Gentiana,,affinis,,,N,SC,
,Gentiana,,andrewsii,,,N,,
,Gentiana,,andrewsii,var.,andrewsii,N,,
,Gentiana,,andrewsii,var.,dakotica,N,,
,Gentiana,X,billingtonii,,,N,,
,Gentiana,,flavida,,,N,,
,Gentiana,,puberulenta,,,N,,
,Gentiana,,rubricaulis,,,N,,
,Gentianella,,amarella,,,N,SC,
,Gentianella,,quinquefolia,subsp.,occidentalis,N,,
,Gentianopsis,,crinita,,,N,,
,Gentianopsis,,procera,,,N,,
,Halenia,,deflexa,subsp.,deflexa,N,,
,Erodium,,cicutarium,,,I,,
,Geranium,,bicknellii,,,N,,
,Geranium,,carolinianum,,,N,,
,Geranium,,maculatum,,,N,,
,Geranium,,sibiricum,,,I,,
,Ribes,,americanum,,,N,,
,Ribes,,aureum,var.,villosum,I,,
,Ribes,,cynosbati,,,N,,
,Ribes,,glandulosum,,,N,,
,Ribes,,hirtellum,,,N,,
,Ribes,,hudsonianum,,,N,,
,Ribes,,lacustre,,,N,,
,Ribes,,missouriense,,,N,,
,Ribes,,oxyacanthoides,var.,oxyacanthoides,N,,
,Ribes,,triste,,,N,,
,Myriophyllum,,alterniflorum,,,N,,
,Myriophyllum,,farwellii,,,N,,
,Myriophyllum,,heterophyllum,,,N,SC,
,Myriophyllum,,sibiricum,,,N,,
,Myriophyllum,,spicatum,,,I,,PI
,Myriophyllum,,tenellum,,,N,,
,Myriophyllum,,verticillatum,,,N,,
,Hamamelis,,virginiana,,,N,T,
,Hippuris,,vulgaris,,,N,,
,Elodea,,bifoliata,,,N,E,
,Elodea,,canadensis,,,N,,
,Elodea,,nuttallii,,,N,,
,Vallisneria,,americana,,,N,,
,Ellisia,,nyctelea,,,N,,
,Hydrophyllum,,appendiculatum,,,N,,
,Hydrophyllum,,virginianum,var.,virginianum,N,,
,Phacelia,,franklinii,,,N,T,
,Iris,,pseudacorus,,,I,,
,Iris,,versicolor,,,N,,
,Iris,,virginica,,,N,,
,Sisyrinchium,,angustifolium,,,N,H,
,Sisyrinchium,,campestre,,,N,,
,Sisyrinchium,,montanum,var.,montanum,N,,
,Sisyrinchium,,mucronatum,,,N,,
,Isoetes,,echinospora,,,N,,
,Isoetes,,lacustris,,,N,,
,Isoetes,,melanopoda,,,N,E,
,Carya,,cordiformis,,,N,,
,Carya,,ovata,var.,ovata,N,,
,Juglans,,cinerea,,,N,E,
,Juglans,,nigra,,,N,,
,Juncus,,alpinoarticulatus,,,N,,
,Juncus,,arcticus,var.,balticus,U,,
,Juncus,,articulatus,,,N,E,
,Juncus,,brachycarpus,,,U,,
,Juncus,,brevicaudatus,,,N,,
,Juncus,,bufonius,,,N,,
,Juncus,,canadensis,,,N,,
,Juncus,,compressus,,,I,,
,Juncus,,dudleyi,,,N,,
,Juncus,,effusus,,,N,,
,Juncus,,filiformis,,,N,,
,Juncus,,gerardii,,,U,H,
,Juncus,X,gracilescens,,,N,,
,Juncus,,greenei,,,N,,
,Juncus,,interior,,,N,,
,Juncus,,longistylis,,,N,,
,Juncus,,marginatus,,,N,E,
,Juncus,,nodosus,,,N,,
,Juncus,,pelocarpus,,,N,,
,Juncus,,stygius,var.,americanus,N,SC,
,Juncus,,subtilis,,,N,E,
,Juncus,,tenuis,,,N,,
,Juncus,,torreyi,,,N,,
,Juncus,,vaseyi,,,N,,
,Luzula,,acuminata,var.,acuminata,N,,
,Luzula,,luzuloides,subsp.,luzuloides,I,,
,Luzula,,multiflora,subsp.,multiflora,I,,
,Luzula,,parviflora,,,N,T,
,Triglochin,,maritima,,,N,,
,Triglochin,,palustris,,,N,,
,Agastache,,foeniculum,,,N,,
,Agastache,,nepetoides,,,N,H,
,Agastache,,scrophulariifolia,,,N,,
,Blephilia,,hirsuta,,,N,,
,Blephilia,,subnuda,,,I,,
,Dracocephalum,,parviflorum,,,N,,
,Galeopsis,,tetrahit,,,I,,
,Galeopsis,,tetrahit,var.,bifida,I,,
,Galeopsis,,tetrahit,var.,tetrahit,I,,
,Glechoma,,hederacea,,,I,,
,Hedeoma,,hispida,,,N,,
,Hedeoma,,pulegioides,,,U,H,
,Isanthus,,brachiatus,,,N,,
,Lamium,,amplexicaule,,,I,,
,Leonurus,,cardiaca,,,I,,
,Leonurus,,sibiricus,,,I,,
,Lycopus,,americanus,,,N,,
,Lycopus,,asper,,,N,,
,Lycopus,X,sherardii,,,N,,
,Lycopus,,uniflorus,,,N,,
,Lycopus,,virginicus,,,N,W,
,Mentha,,arvensis,var.,canadensis,N,,
,Mentha,X,gentilis,,,I,,
,Mentha,,spicata,,,I,,
,Monarda,,fistulosa,,,N,,
,Monarda,,fistulosa,var.,fistulosa,N,,
,Monarda,,fistulosa,var.,menthifolia,N,,
,Monarda,,punctata,var.,villicaulis,N,,
,Nepeta,,cataria,,,I,,
,Physostegia,,virginiana,subsp.,virginiana,N,,
,Prunella,,vulgaris,,,I,,
,Prunella,,vulgaris,var.,lanceolata,I,,
,Prunella,,vulgaris,var.,vulgaris,I,,
,Pycnanthemum,,virginianum,,,N,,
,Salvia,,reflexa,,,I,,
,Satureja,,vulgaris,,,N,,
,Scutellaria,,galericulata,,,N,,
,Scutellaria,,lateriflora,,,N,,
,Scutellaria,,leonardii,,,N,,
,Scutellaria,,ovata,var.,versicolor,N,T,
,Scutellaria,,parvula,,,N,,
,Stachys,,hispida,,,N,,
,Stachys,,palustris,,,N,,
,Stachys,,palustris,var.,homotricha,N,,
,Stachys,,palustris,var.,pilosa,N,,
,Stachys,,tenuifolia,,,N,,
,Teucrium,,canadense,,,N,,
,Teucrium,,canadense,var.,occidentale,N,,
,Teucrium,,canadense,var.,virginicum,N,,
,Lemna,,minor,,,N,,
,Lemna,,obscura,,,N,W,
,Lemna,,perpusilla,,,N,W,
,Lemna,,trisulca,,,N,,
,Lemna,,turionifera,,,N,,
,Spirodela,,polyrrhiza,,,N,,
,Wolffia,,borealis,,,N,,
,Wolffia,,columbiana,,,N,,
,Pinguicula,,vulgaris,,,N,SC,
,Utricularia,,cornuta,,,N,,
,Utricularia,,geminiscapa,,,N,T,
,Utricularia,,gibba,,,N,,
,Utricularia,,intermedia,,,N,,
,Utricularia,,minor,,,N,,
,Utricularia,,purpurea,,,N,E,
,Utricularia,,resupinata,,,N,T,
,Utricularia,,vulgaris,,,N,,
,Allium,,canadense,var.,canadense,N,,
,Allium,,cernuum,,,N,SC,
,Allium,,schoenoprasum,,,N,E,
,Allium,,stellatum,,,N,,
,Allium,,textile,,,N,,
,Allium,,tricoccum,,,N,,
,Allium,,tricoccum,var.,burdickii,N,,
,Allium,,tricoccum,var.,tricoccum,N,,
,Asparagus,,officinalis,,,I,,
,Clintonia,,borealis,,,N,,
,Erythronium,,albidum,,,N,,
,Erythronium,,albidum,, X propullans,N,,
,Erythronium,,americanum,subsp.,americanum,N,,
,Erythronium,,propullans,,,N,E,
,Hypoxis,,hirsuta,,,N,,
,Lilium,,michiganense,,,N,,
,Lilium,,philadelphicum,,,N,,
,Maianthemum,,canadense,,,N,,
,Maianthemum,,racemosum,subsp.,racemosum,N,,
,Maianthemum,,stellatum,,,N,,
,Maianthemum,,trifolium,,,N,,
,Ornithogalum,,umbellatum,,,I,,
,Polygonatum,,biflorum,,,N,,
,Polygonatum,,pubescens,,,N,,
,Prosartes,,trachycarpa,,,N,E,
,Scilla,,sibirica,,,I,,
,Streptopus,,amplexifolius,,,N,,
,Streptopus,,lanceolatus,,,N,,
,Tofieldia,,pusilla,,,N,E,
,Triantha,,glutinosa,,,N,,
,Trillium,,cernuum,,,N,,
,Trillium,,flexipes,,,N,,
,Trillium,,grandiflorum,,,N,,
,Trillium,,nivale,,,N,SC,
,Uvularia,,grandiflora,,,N,,
,Uvularia,,sessilifolia,,,N,,
,Zigadenus,,elegans,,,N,,
,Floerkea,,proserpinacoides,,,N,T,
,Linum,,lewisii,,,I,,
,Linum,,rigidum,var.,rigidum,N,,
,Linum,,sulcatum,,,N,,
,Linum,,usitatissimum,,,I,,
,Diphasiastrum,,complanatum,,,N,,
,Diphasiastrum,,complanatum,, X digitatum,N,,
,Diphasiastrum,,digitatum,,,N,,
,Diphasiastrum,X,habereri,,,N,,
,Diphasiastrum,,tristachyum,,,N,,
,Diphasiastrum,X,zeilleri,,,N,,
,Huperzia,,appalachiana,,,N,SC,
,Huperzia,,appalachiana,, X selago,N,,
,Huperzia,,appalachiana,, X lucidula,N,,
,Huperzia,X,bartleyi,,,N,,
,Huperzia,X,buttersii,,,N,,
,Huperzia,,lucidula,,,N,,
,Huperzia,,porophila,,,N,T,
,Huperzia,,selago,,,N,,
,Lycopodiella,,inundata,,,N,,
,Lycopodium,,annotinum,,,N,,
,Lycopodium,,clavatum,,,N,,
,Lycopodium,,dendroideum,,,N,,
,Lycopodium,,hickeyi,,,N,,
,Lycopodium,,lagopus,,,N,,
,Ammannia,,coccinea,,,N,,
,Decodon,,verticillatus,var.,laevigatus,N,SC,
,Didiplis,,diandra,,,N,H,
,Lythrum,,alatum,var.,alatum,N,,
,Lythrum,,salicaria,,,I,,"SN,,PI"
