X,genus,X,species,subttype,subtaxa,native_status,rarity_status,invasive_status
,Artemisia,,vulgaris,,,I,,
,Bidens,,beckii,,,N,,
,Bidens,,cernua,,,N,,
,Bidens,,connata,,,N,,
,Bidens,,discoidea,,,N,SC,
,Bidens,,frondosa,,,N,,
,Bidens,,trichosperma,,,N,,
,Bidens,,tripartita,,,N,,
,Bidens,,vulgata,,,N,,
,Boltonia,,asteroides,,,N,,
,Boltonia,,asteroides,var.,latisquama,N,,
,Boltonia,,asteroides,var.,recognita,N,,
,Brickellia,,eupatorioides,var.,corymbulosa,N,,
,Canadanthus,,modestus,,,N,W,
,Carduus,,acanthoides,subsp.,acanthoides,I,,"SN,PS"
,Carduus,,nutans,,,I,,"SN,PS"
,Centaurea,,cyanus,,,I,,
,Centaurea,,stoebe,subsp.,micranthos,I,,SN
,Cichorium,,intybus,,,I,,
,Cirsium,,altissimum,,,N,,
,Cirsium,,arvense,,,I,,"SN,PS"
,Cirsium,,discolor,,,N,,
,Cirsium,,flodmanii,,,N,,
,Cirsium,,muticum,,,N,,
,Cirsium,,pumilum,var.,hillii,N,SC,
,Cirsium,,vulgare,,,I,,PS
,Conyza,,canadensis,,,N,,
,Conyza,,ramosissima,,,N,,
,Coreopsis,,lanceolata,,,I,,
,Coreopsis,,palmata,,,N,,
,Coreopsis,,tinctoria,,,I,,
,Cota,,tinctoria,,,I,,
,Crepis,,runcinata,subsp.,runcinata,N,,
,Crepis,,tectorum,,,I,,
,Cyclachaena,,xanthifolia,,,N,,
,Doellingeria,,umbellata,,,N,,
,Doellingeria,,umbellata,var.,pubens,N,,
,Doellingeria,,umbellata,var.,umbellata,N,,
,Dyssodia,,papposa,,,I,H,
,Echinacea,,angustifolia,,,N,,
,Eclipta,,prostrata,,,I,,
,Erechtites,,hieraciifolius,var.,hieraciifolius,N,,
,Erigeron,,acris,var.,kamtschaticus,N,E,
,Erigeron,,annuus,,,N,,
,Erigeron,,glabellus,var.,pubescens,N,,
,Erigeron,,lonchophyllus,,,N,T,
,Erigeron,,philadelphicus,var.,philadelphicus,N,,
,Erigeron,,pulchellus,,,N,,
,Erigeron,,pulchellus,var.,pulchellus,N,,
,Erigeron,,pulchellus,var.,tolsteadii,N,W,
,Erigeron,,strigosus,,,N,,
,Erigeron,,strigosus,var.,septentrionalis,N,,
,Erigeron,,strigosus,var.,strigosus,N,,
,Eupatorium,,altissimum,,,N,,
,Eupatorium,,perfoliatum,,,N,,
,Eupatorium,,sessilifolium,,,N,T,
,Eurybia,,macrophylla,,,N,,
,Euthamia,,graminifolia,,,N,,
,Euthamia,,gymnospermoides,,,N,,
,Eutrochium,,maculatum,,,N,,
,Eutrochium,,maculatum,var.,bruneri,N,,
,Eutrochium,,maculatum,var.,foliosum,N,H,
,Eutrochium,,maculatum,var.,maculatum,N,,
,Eutrochium,,purpureum,,,N,,
,Eutrochium,,purpureum,var.,holzingeri,N,,
,Eutrochium,,purpureum,var.,purpureum,N,,
,Gaillardia,,aristata,,,N,SC,
,Gaillardia,,pulchella,,,I,,
,Galinsoga,,parviflora,var.,parviflora,I,,
,Galinsoga,,quadriradiata,,,I,,
,Gnaphalium,,uliginosum,,,I,,
,Grindelia,,hirsutula,,,N,,
,Grindelia,,squarrosa,,,N,,
,Hasteola,,suaveolens,,,N,E,
,Helenium,,autumnale,,,N,,
,Helianthus,,annuus,,,N,,
,Helianthus,,giganteus,,,N,,
,Helianthus,,grosseserratus,,,N,,
,Helianthus,,hirsutus,,,N,,
,Helianthus,X,laetiflorus,,,N,,
,Helianthus,,maximiliani,,,N,,
,Helianthus,,nuttallii,subsp.,rydbergii,N,SC,
,Helianthus,,occidentalis,subsp.,occidentalis,N,,
,Helianthus,,pauciflorus,,,N,,
,Helianthus,,pauciflorus,subsp.,pauciflorus,N,,
,Helianthus,,pauciflorus,subsp.,subrhomboideus,N,,
,Helianthus,,petiolaris,subsp.,petiolaris,N,,
,Helianthus,,strumosus,,,N,,
,Helianthus,,tuberosus,,,N,,
,Heliopsis,,helianthoides,var.,scabra,N,,
,Heterotheca,,stenophylla,var.,angustifolia,N,,
,Heterotheca,,villosa,,,N,,
,Heterotheca,,villosa,var.,ballardii,N,,
,Heterotheca,,villosa,var.,foliosa,N,,
,Heterotheca,,villosa,var.,minor,N,,
,Heterotheca,,villosa,var.,villosa,N,,
,Hieracium,,aurantiacum,,,I,,
,Hieracium,,caespitosum,,,I,,
