X,genus,X,species,subttype,subtaxa,germcode
,Penstemon,,calycosus,,,"C(30)"
,Penstemon,,cobaea,,,"C(30)"
,Penstemon,,digitalis,,,"C(30)"
,Penstemon,,gracilis,,,"C(30)"
,Penstemon,,grandiflorus,,,"C(30)"
,Penstemon,,pallidus,,,"C(30)"
,Penstemon,,tubaeflorus,,,"C(30)"
,Polanisia,,dodecandra,,,"C(30)"
,Ranunculus,,sceleratus,,,"C(30)"
,Ratibida,,columnifera,,,"C(30)"
,Ratibida,,pinnata,,,"C(30)"
,Rudbeckia,,hirta,,,"C(30)"
,Rudbeckia,,laciniata,,,"C(30)"
,Rudbeckia,,speciosa,var.,sullivantii,"C(30)"
,Rudbeckia,,subtomentosa,,,"C(30)"
,Rudbeckia,,triloba,,,"C(30)"
,Sedum,,pulchellum,,,"C(30)"
,Strophostyles,,helvola,,,"C(30)"
,Strophostyles,,leiosperma,,,"C(30)"
,Symphyotrichum,,praealtum,,,"C(30)"
,Symphyotrichum,,shortii,,,"C(30)"
,Symphyotrichum,,turbinellum,,,"C(30)"
,Verbena,,hastata,,,"C(30)"
,Verbena,,simplex,,,"C(30)"
,Verbesina,,alternifolia,,,"C(30)"
,Acorus,,americanus,,,"C(60)"
,Agalinis,,aspera,,,"C(60)"
,Agalinis,,auriculata,,,"C(60)"
,Agalinis,,tenuifolia,,,"C(60)"
,Agastache,,nepetoides,,,"C(60)"
,Agastache,,scrophulariifolia,,,"C(60)"
,Ageratina,,altissima,,,"C(60)"
,Allium,,canadense,,,"C(60)"
,Allium,,canadense,var.,lavendulare,"C(60)"
,Allium,,cernuum,,,"C(60)"
,Allium,,stellatum,,,"C(60)"
,Amsonia,,illustris,,,"C(60)"
,Amsonia,,tabernaemontana,,,"C(60)"
,Anemone,,cylindrica,,,"C(60)"
,Anemone,,virginiana,,,"C(60)"
,Antennaria,,neglecta,,,"C(60)"
,Antennaria,,parlinii,,,"C(60)"
,Antennaria,,plantaginifolia,,,"C(60)"
,Aquilegia,,canadensis,,,"C(60)"
,Arabis,,glabra,,,"C(60)"
,Aralia,,racemosa,,,"C(60)"
,Argemone,,polyanthemos,,,"C(60)"
,Arnoglossum,,atriplicifolium,,,"C(60)"
,Arnoglossum,,plantagineum,,,"C(60)"
,Arnoglossum,,reniforme,,,"C(60)"
,Asclepias,,arenaria,,,"C(60)"
,Aureolaria,,flava,,,"C(60)"
,Aureolaria,,pedicularia,,,"C(60)"
