X,genus,X,species,subttype,subtaxa,germcode
,Lespedeza,,capitata,,,J
,Agalinis,,tenuifolia,,,K
,Castilleja,,coccinea,,,K
,Castilleja,,sessiliflora,,,K
,Comandra,,umbellata,,,K
,Pedicularis,,canadensis,,,K
,Pedicularis,,lanceolata,,,K
,Arisaema,,dracontium,,,L
,Arisaema,,triphyllum,,,L
,Asarum,,canadense,,,L
,Calla,,palustris,,,L
,Cimicifuga,,racemosa,,,L
,Claytonia,,virginica,,,L
,Erythronium,,albidum,,,L
,Geranium,,carolinianum,,,L
,Hepatica,,acutiloba,,,L
,Hepatica,,americana,,,L
,Hydrastis,,canadensis,,,L
,Hydrophyllum,,appendiculatum,,,L
,Impatiens,,capensis,,,L
,Impatiens,,pallida,,,L
,Jeffersonia,,diphylla,,,L
,Maianthemum,,racemosum,,,L
,Maianthemum,,stellatum,,,L
,Mitella,,diphylla,,,L
,Peltandra,,virginica,,,L
,Polygonatum,,biflorum,,,L
,Ranunculus,,rhomboideus,,,L
,Sanguinaria,,canadensis,,,L
,Stylophorum,,diphyllum,,,L
,Trillium,,cernuum,,,L
,Trillium,,grandiflorum,,,L
,Uvularia,,grandiflora,,,L
,Anemone,,patens,var.,wolfgangiana,M
,Anemone,,quinquefolia,,,M
,Aquilegia,,canadensis,,,M
,Aralia,,racemosa,,,M
,Camassia,,scilloides,,,M
,Caulophyllum,,thalictroides,,,M
,Chelone,,glabra,,,M
,Cicuta,,maculata,,,M
,Clematis,,virginiana,,,M
,Coreopsis,,palmata,,,M
,Dodecatheon,,amethystinum,,,M
,Echinacea,,angustifolia,,,M
,Echinacea,,pallida,,,M
,Frasera,,caroliniensis,,,M
,Geranium,,maculatum,,,M
,Geum,,triflorum,,,M
,Heracleum,,maximum,,,M
,Hydrastis,,canadensis,,,M
,Impatiens,,capensis,,,M
,Impatiens,,pallida,,,M
,Iris,,versicolor,,,M
,Iris,,virginica,var.,shrevei,M
,Melanthium,,virginicum,,,M
,Mertensia,,virginica,,,M
,Mitella,,diphylla,,,M
,Oxalis,,violacea,,,M
,Phlox,,pilosa,,,M
,Polytaenia,,nuttallii,,,M
,Prenanthes,,racemosa,,,M
,Ranunculus,,rhomboideus,,,M
,Sisyrinchium,,albidum,,,M
,Sisyrinchium,,campestre,,,M
,Taenidia,,integerrima,,,M
,Thaspium,,trifoliatum,,flavum,M
,Tradescantia,,ohiensis,,,M
,Viola,,pedata,,,M
,Viola,,pedatifida,,,M
,Viola,,pubescens,var.,eriocarpa,M
,Viola,,sororia,,,M
,Viola,,sororia,f.,rubra,M
,Viola,,striata,,,M
,Wulfenia,,bullii,,,M
,Zigadenus,,elegans,,,M
,Zizia,,aptera,,,M
,Zizia,,aurea,,,M
,Ipomoea,,leptophylla,,,O
,Nelumbo,,lutea,,,O
,Phaseolus,,polystachios,,,O
